team,color,alt_color,tertiary,fourth,fifth,sixth,abbr,conf,sub,group,espn_id,pff_id,team_id,p1,p2,
Mississippi Valley State,#046A38,#C8102E,,,,,MVSU,SWAC,FCS,FCS,2400,MSVA,2064,D:/NCAA_Images/FCS/_primary/Mississippi_Valley_State.p1_500.png,D:/NCAA_Images/FCS/_primary/Mississippi_Valley_State.p2_500.png,
Missouri State,#5E0009,#FFFFFF,,,,,MOST,MVC,FCS,FCS,2623,MOSW,2065,D:/NCAA_Images/FCS/_primary/Missouri_State.p1_500.png,D:/NCAA_Images/FCS/_primary/Missouri_State.p2_500.png,
Monmouth,#041E42,#FFFFFF,#002855,#63666A,#C8C9C7,,MONM,BS,FCS,FCS,2405,NJMO,2066,D:/NCAA_Images/FCS/_primary/Monmouth.p1_500.png,D:/NCAA_Images/FCS/_primary/Monmouth.p2_500.png,
Montana,#660033,#999999,,,,,MONT,SKY,FCS,FCS,149,MTUN,2067,D:/NCAA_Images/FCS/_primary/Montana.p1_500.png,D:/NCAA_Images/FCS/_primary/Montana.p2_500.png,
Montana State,#00205B,#BA9E66,,,,,MTST,SKY,FCS,FCS,147,MTST,2068,D:/NCAA_Images/FCS/_primary/Montana_State.p1_500.png,D:/NCAA_Images/FCS/_primary/Montana_State.p2_500.png,
Morehead State,#003399,#FFCF00,,,,,MORE,PIO,FCS,FCS,2413,KYMO,2069,D:/NCAA_Images/FCS/_primary/Morehead_State.p1_500.png,D:/NCAA_Images/FCS/_primary/Morehead_State.p2_500.png,
Morgan State,#002D72,#FC4C02,,,,,MORG,MEAC,FCS,FCS,2415,MDMO,2070,D:/NCAA_Images/FCS/_primary/Morgan_State.p1_500.png,D:/NCAA_Images/FCS/_primary/Morgan_State.p2_500.png,
Murray State,#002144,#ECAC00,,,,,MURR,OVC,FCS,FCS,93,KYMU,2071,D:/NCAA_Images/FCS/_primary/Murray_State.p1_500.png,D:/NCAA_Images/FCS/_primary/Murray_State.p2_500.png,
New Hampshire,#041E42,#BBBCBC,#FFFFFF,#000000,,,UNH,CAA,FCS,FCS,160,NHUN,2072,D:/NCAA_Images/FCS/_primary/New_Hampshire.p1_500.png,D:/NCAA_Images/FCS/_primary/New_Hampshire.p2_500.png,
Nicholls State,#A6192E,#7C878E,,,,,NICH,SL,FCS,FCS,2447,LANI,2073,D:/NCAA_Images/FCS/_primary/Nicholls_State.p1_500.png,D:/NCAA_Images/FCS/_primary/Nicholls_State.p2_500.png,
Norfolk State,#007A53,#F3D03E,,,,,NSU,MEAC,FCS,FCS,2450,VANO,2074,D:/NCAA_Images/FCS/_primary/Norfolk_State.p1_500.png,D:/NCAA_Images/FCS/_primary/Norfolk_State.p2_500.png,
North Alabama,#B5A268,#46166B,#FFFFFF,#DB9F11,#5F6062,#000000,UNA,BS,FCS,FCS,2453,ALNO,2075,D:/NCAA_Images/FCS/_primary/North_Alabama.p1_500.png,D:/NCAA_Images/FCS/_primary/North_Alabama.p2_500.png,
North Carolina A&T,#004684,#FDB927,,,,,NCAT,MEAC,FCS,FCS,2448,NCAT,2076,D:/NCAA_Images/FCS/_primary/North_Carolina_A&T.p1_500.png,D:/NCAA_Images/FCS/_primary/North_Carolina_A&T.p2_500.png,
North Carolina Central,#8B2331,#8E908F,,,,,NCCU,MEAC,FCS,FCS,2428,NCCE,2077,D:/NCAA_Images/FCS/_primary/North_Carolina_Central.p1_500.png,D:/NCAA_Images/FCS/_primary/North_Carolina_Central.p2_500.png,
North Dakota,#009A44,#FFFFFF,,,,,UND,MVC,FCS,FCS,155,NDUN,2078,D:/NCAA_Images/FCS/_primary/North_Dakota.p1_500.png,D:/NCAA_Images/FCS/_primary/North_Dakota.p2_500.png,
North Dakota State,#005643,#FFC82E,,,,,NDSU,MVC,FCS,FCS,2449,NDST,2079,D:/NCAA_Images/FCS/_primary/North_Dakota_State.p1_500.png,D:/NCAA_Images/FCS/_primary/North_Dakota_State.p2_500.png,
Northern Arizona,#003466,#F1B300,,,,,NAU,SKY,FCS,FCS,2464,AZNO,2080,D:/NCAA_Images/FCS/_primary/Northern_Arizona.p1_500.png,D:/NCAA_Images/FCS/_primary/Northern_Arizona.p2_500.png,
Northern Colorado,#013C65,#F6B000,,,,,UNCO,SKY,FCS,FCS,2458,CONO,2081,D:/NCAA_Images/FCS/_primary/Northern_Colorado.p1_500.png,D:/NCAA_Images/FCS/_primary/Northern_Colorado.p2_500.png,
