team,color,alt_color,tertiary,fourth,fifth,sixth,abbr,conf,sub,group,espn_id,pff_id,team_id,p1,p2,
Charlotte,#005035,#A49665,#FFFFFF,#AC9751,,,CHAR,CUSA,FBS,G5,2429,NCCR,1020,D:/NCAA_Images/FBS/_primary/Charlotte.p1_500.png,D:/NCAA_Images/FBS/_primary/Charlotte.p2_500.png,
Cincinnati,#E00122,#000000,#FFFFFF,,,,CIN,AAC,FBS,G5,2132,OHCI,1021,D:/NCAA_Images/FBS/_primary/Cincinnati.p1_500.png,D:/NCAA_Images/FBS/_primary/Cincinnati.p2_500.png,
Clemson,#F56600,#522D80,#FFFFFF,,,,CLEM,ACC,FBS,P5,228,SCCL,1022,D:/NCAA_Images/FBS/_primary/Clemson.p1_500.png,D:/NCAA_Images/FBS/_primary/Clemson.p2_500.png,
Coastal Carolina,#006F71,#A27752,#111111,,,,CCU,SBC,FBS,G5,324,SCCC,1023,D:/NCAA_Images/FBS/_primary/Coastal_Carolina.p1_500.png,D:/NCAA_Images/FBS/_primary/Coastal_Carolina.p2_500.png,
Colorado,#CFB87C,#000000,#565A5C,#A2A4A3,,,CU,PAC,FBS,P5,38,COUN,1024,D:/NCAA_Images/FBS/_primary/Colorado.p1_500.png,D:/NCAA_Images/FBS/_primary/Colorado.p2_500.png,
Colorado State,#1E4D2B,#C8C372,#FFFFFF,#D9782D,,,CSU,MWC,FBS,G5,36,COST,1025,D:/NCAA_Images/FBS/_primary/Colorado_State.p1_500.png,D:/NCAA_Images/FBS/_primary/Colorado_State.p2_500.png,
Connecticut,#000E2F,#FFFFFF,#7C878E,#E4002B,#A2AAAD,#A4C8E1,CONN,FBSI,FBS,G5,41,CTUN,1026,D:/NCAA_Images/FBS/_primary/Connecticut.p1_500.png,D:/NCAA_Images/FBS/_primary/Connecticut.p2_500.png,
Duke,#003087,#FFFFFF,#000000,,,,DUKE,ACC,FBS,P5,150,NCDU,1027,D:/NCAA_Images/FBS/_primary/Duke.p1_500.png,D:/NCAA_Images/FBS/_primary/Duke.p2_500.png,
East Carolina,#592A8A,#FFC702,#000000,#FFFFFF,,,ECU,AAC,FBS,G5,151,NCEA,1028,D:/NCAA_Images/FBS/_primary/East_Carolina.p1_500.png,D:/NCAA_Images/FBS/_primary/East_Carolina.p2_500.png,
Eastern Michigan,#046A38,#FFFFFF,,,,,EMU,MAC,FBS,G5,2199,MIEA,1029,D:/NCAA_Images/FBS/_primary/Eastern_Michigan.p1_500.png,D:/NCAA_Images/FBS/_primary/Eastern_Michigan.p2_500.png,
FAU,#003366,#CC0000,#8A8D8F,#C1C6C8,#FFFFFF,#000000,FAU,CUSA,FBS,G5,2226,FLAT,1030,D:/NCAA_Images/FBS/_primary/FAU.p1_500.png,D:/NCAA_Images/FBS/_primary/FAU.p2_500.png,
FIU,#081E3F,#B6862C,#FFFFFF,,,,FIU,CUSA,FBS,G5,2229,FLIN,1031,D:/NCAA_Images/FBS/_primary/FIU.p1_500.png,D:/NCAA_Images/FBS/_primary/FIU.p2_500.png,
Florida,#FA4616,#0021A5,#FFFFFF,#046A38,,,FLA,SEC,FBS,P5,57,FLUN,1032,D:/NCAA_Images/FBS/_primary/Florida.p1_500.png,D:/NCAA_Images/FBS/_primary/Florida.p2_500.png,
Florida State,#782F40,#CEB888,#FFFFFF,#000000,#FFC72C,,FSU,ACC,FBS,P5,52,FLST,1033,D:/NCAA_Images/FBS/_primary/Florida_State.p1_500.png,D:/NCAA_Images/FBS/_primary/Florida_State.p2_500.png,
Fresno State,#C8102E,#13294B,#FFFFFF,#007A33,,,FRES,MWC,FBS,G5,278,CAFR,1034,D:/NCAA_Images/FBS/_primary/Fresno_State.p1_500.png,D:/NCAA_Images/FBS/_primary/Fresno_State.p2_500.png,
Georgia,#BA0C2F,#000000,#5D6770,,,,UGA,SEC,FBS,P5,61,GAUN,1035,D:/NCAA_Images/FBS/_primary/Georgia.p1_500.png,D:/NCAA_Images/FBS/_primary/Georgia.p2_500.png,
Georgia Southern,#011E41,#FFFFFF,#A5ACAF,#A99260,,,GASO,SBC,FBS,G5,290,GASO,1036,D:/NCAA_Images/FBS/_primary/Georgia_Southern.p1_500.png,D:/NCAA_Images/FBS/_primary/Georgia_Southern.p2_500.png,
Georgia State,#0039A6,#FFFFFF,#CC0000,,,,GAST,SBC,FBS,G5,2247,GAST,1037,D:/NCAA_Images/FBS/_primary/Georgia_State.p1_500.png,D:/NCAA_Images/FBS/_primary/Georgia_State.p2_500.png,
Georgia Tech,#B3A369,#003057,#FFFFFF,#545454,,,GT,ACC,FBS,P5,59,GATC,1038,D:/NCAA_Images/FBS/_primary/Georgia_Tech.p1_500.png,D:/NCAA_Images/FBS/_primary/Georgia_Tech.p2_500.png,
Hawaii,#024731,#000000,#8A8D8F,,,,HAW,MWC,FBS,G5,62,HIUN,1039,D:/NCAA_Images/FBS/_primary/Hawaii.p1_500.png,D:/NCAA_Images/FBS/_primary/Hawaii.p2_500.png,
Houston,#C8102E,#FFFFFF,#B2B4B2,,,,HOU,AAC,FBS,G5,248,TXHO,1040,D:/NCAA_Images/FBS/_primary/Houston.p1_500.png,D:/NCAA_Images/FBS/_primary/Houston.p2_500.png,
Illinois,#E04E39,#13294B,#FFFFFF,#707372,#A5ACAF,,ILL,B1G,FBS,P5,356,ILUN,1041,D:/NCAA_Images/FBS/_primary/Illinois.p1_500.png,D:/NCAA_Images/FBS/_primary/Illinois.p2_500.png,
Indiana,#990000,#EDEBEB,#ACA39A,#83786F,,,IND,B1G,FBS,P5,84,INUN,1042,D:/NCAA_Images/FBS/_primary/Indiana.p1_500.png,D:/NCAA_Images/FBS/_primary/Indiana.p2_500.png,
Iowa,#FCD116,#000000,#FFFFFF,#BBBCBC,,,IOWA,B1G,FBS,P5,2294,IAUN,1043,D:/NCAA_Images/FBS/_primary/Iowa.p1_500.png,D:/NCAA_Images/FBS/_primary/Iowa.p2_500.png,
Iowa State,#A71930,#FDC82F,#822433,#FADA63,,,ISU,B12,FBS,P5,66,IAST,1044,D:/NCAA_Images/FBS/_primary/Iowa_State.p1_500.png,D:/NCAA_Images/FBS/_primary/Iowa_State.p2_500.png,
Kansas,#0051BA,#E8000D,#FFFFFF,#FFC82D,#85898A,,KU,B12,FBS,P5,2305,KSUN,1045,D:/NCAA_Images/FBS/_primary/Kansas.p1_500.png,D:/NCAA_Images/FBS/_primary/Kansas.p2_500.png,
Kansas State,#330A57,#A7A9AC,#E2E3E4,#FFFFFF,#000000,,KSU,B12,FBS,P5,2306,KSST,1046,D:/NCAA_Images/FBS/_primary/Kansas_State.p1_500.png,D:/NCAA_Images/FBS/_primary/Kansas_State.p2_500.png,
Kent State,#003976,#EBAB21,#866D4B,,,,KENT,MAC,FBS,G5,2309,OHKS,1047,D:/NCAA_Images/FBS/_primary/Kent_State.p1_500.png,D:/NCAA_Images/FBS/_primary/Kent_State.p2_500.png,
Kentucky,#0033A0,#FFFFFF,#C8C9C7,#2C2A29,#A5ACAF,,UK,SEC,FBS,P5,96,KYUN,1048,D:/NCAA_Images/FBS/_primary/Kentucky.p1_500.png,D:/NCAA_Images/FBS/_primary/Kentucky.p2_500.png,
Liberty,#0A254E,#990000,#FFFFFF,#C6C7C9,,,LIB,FBSI,FBS,G5,2335,VALB,1049,D:/NCAA_Images/FBS/_primary/Liberty.p1_500.png,D:/NCAA_Images/FBS/_primary/Liberty.p2_500.png,
Louisiana,#CE181E,#FFFFFF,#0A0203,#C1C5C9,#F18C21,,ULL,SBC,FBS,G5,309,LASW,1050,D:/NCAA_Images/FBS/_primary/Louisiana.p1_500.png,D:/NCAA_Images/FBS/_primary/Louisiana.p2_500.png,
Louisiana Tech,#003087,#CB333B,#FFFFFF,#69B3E7,#A2AAAD,,LT,CUSA,FBS,G5,2348,LATC,1051,D:/NCAA_Images/FBS/_primary/Louisiana_Tech.p1_500.png,D:/NCAA_Images/FBS/_primary/Louisiana_Tech.p2_500.png,
Louisiana-Monroe,#862633,#EAAA00,#000000,#63666A,#C8C9C7,,ULM,SBC,FBS,G5,2433,LANE,1052,D:/NCAA_Images/FBS/_primary/Louisiana-Monroe.p1_500.png,D:/NCAA_Images/FBS/_primary/Louisiana-Monroe.p2_500.png,
Louisville,#C9001F,#000000,#FFFFFF,#8A8D8F,#FDB913,,LOU,ACC,FBS,P5,97,KYLO,1053,D:/NCAA_Images/FBS/_primary/Louisville.p1_500.png,D:/NCAA_Images/FBS/_primary/Louisville.p2_500.png,
LSU,#461D7C,#FDD023,#000000,#FFFFFF,,,LSU,SEC,FBS,P5,99,LAST,1054,D:/NCAA_Images/FBS/_primary/LSU.p1_500.png,D:/NCAA_Images/FBS/_primary/LSU.p2_500.png,
Marshall,#00B140,#27251F,#693F23,#A2AAAD,,,MRSH,CUSA,FBS,G5,276,WVMA,1055,D:/NCAA_Images/FBS/_primary/Marshall.p1_500.png,D:/NCAA_Images/FBS/_primary/Marshall.p2_500.png,
Maryland,#E21833,#F7D117,#000000,#FFFFFF,#AD7C59,,MD,B1G,FBS,P5,120,MDUN,1056,D:/NCAA_Images/FBS/_primary/Maryland.p1_500.png,D:/NCAA_Images/FBS/_primary/Maryland.p2_500.png,
Memphis,#003087,#898D8D,#FFFFFF,,,,MEM,AAC,FBS,G5,235,TNMS,1057,D:/NCAA_Images/FBS/_primary/Memphis.p1_500.png,D:/NCAA_Images/FBS/_primary/Memphis.p2_500.png,
Miami (FL),#F05A00,#005030,#FFFFFF,#333F48,#A2AAAD,#000000,MIA,ACC,FBS,P5,2390,FLMI,1058,D:/NCAA_Images/FBS/_primary/Miami_(FL).p1_500.png,D:/NCAA_Images/FBS/_primary/Miami_(FL).p2_500.png,
Miami (OH),#C3142D,#FFFFFF,#000000,,,,M-OH,MAC,FBS,G5,193,OHMI,1059,D:/NCAA_Images/FBS/_primary/Miami_(OH).p1_500.png,D:/NCAA_Images/FBS/_primary/Miami_(OH).p2_500.png,
Michigan,#FFCB05,#00274C,#FFFFFF,,,,MICH,B1G,FBS,P5,130,MIUN,1060,D:/NCAA_Images/FBS/_primary/Michigan.p1_500.png,D:/NCAA_Images/FBS/_primary/Michigan.p2_500.png,
Michigan State,#18453B,#FFFFFF,#8A8D8F,#69BE28,,,MSU,B1G,FBS,P5,127,MIST,1061,D:/NCAA_Images/FBS/_primary/Michigan_State.p1_500.png,D:/NCAA_Images/FBS/_primary/Michigan_State.p2_500.png,
Middle Tennessee,#005EB8,#FFFFFF,#C1C6C8,#000000,,,MTSU,CUSA,FBS,G5,2393,TNMI,1062,D:/NCAA_Images/FBS/_primary/Middle_Tennessee.p1_500.png,D:/NCAA_Images/FBS/_primary/Middle_Tennessee.p2_500.png,
Minnesota,#7A0019,#FFCC33,#FFFFFF,,,,MINN,B1G,FBS,P5,135,MNUN,1063,D:/NCAA_Images/FBS/_primary/Minnesota.p1_500.png,D:/NCAA_Images/FBS/_primary/Minnesota.p2_500.png,
Mississippi State,#5D1725,#C1C6C8,#777777,#FFFFFF,#000000,,MSST,SEC,FBS,P5,344,MSST,1064,D:/NCAA_Images/FBS/_primary/Mississippi_State.p1_500.png,D:/NCAA_Images/FBS/_primary/Mississippi_State.p2_500.png,
Missouri,#000000,#F1B82D,#FFFFFF,#373A36,,,MIZ,SEC,FBS,P5,142,MOUN,1065,D:/NCAA_Images/FBS/_primary/Missouri.p1_500.png,D:/NCAA_Images/FBS/_primary/Missouri.p2_500.png,
Navy,#00205B,#C5C19D,#FFC425,,,,NAVY,AAC,FBS,G5,2426,MDNA,1066,D:/NCAA_Images/FBS/_primary/Navy.p1_500.png,D:/NCAA_Images/FBS/_primary/Navy.p2_500.png,
NC State,#CC0000,#000000,#FFFFFF,,,,NCST,ACC,FBS,P5,152,NCST,1067,D:/NCAA_Images/FBS/_primary/NC_State.p1_500.png,D:/NCAA_Images/FBS/_primary/NC_State.p2_500.png,
Nebraska,#E41C38,#FFFFFF,#000000,#FDF2D9,,,NEB,B1G,FBS,P5,158,NEUN,1068,D:/NCAA_Images/FBS/_primary/Nebraska.p1_500.png,D:/NCAA_Images/FBS/_primary/Nebraska.p2_500.png,
Nevada,#041E42,#999999,#8A8D8F,,,,NEV,MWC,FBS,G5,2440,NVRE,1069,D:/NCAA_Images/FBS/_primary/Nevada.p1_500.png,D:/NCAA_Images/FBS/_primary/Nevada.p2_500.png,
New Mexico,#BA0C2F,#A7A8AA,#63666A,#007A86,#000000,,UNM,MWC,FBS,G5,167,NMUN,1070,D:/NCAA_Images/FBS/_primary/New_Mexico.p1_500.png,D:/NCAA_Images/FBS/_primary/New_Mexico.p2_500.png,
New Mexico State,#8C0B42,#000000,#FFFFFF,#6D6E71,,,NMSU,FBSI,FBS,G5,166,NMST,1071,D:/NCAA_Images/FBS/_primary/New_Mexico_State.p1_500.png,D:/NCAA_Images/FBS/_primary/New_Mexico_State.p2_500.png,
North Carolina,#7BAFD4,#FFFFFF,#13294B,#2C2A29,#8D9092,#A2AAAD,UNC,ACC,FBS,P5,153,NCUN,1072,D:/NCAA_Images/FBS/_primary/North_Carolina.p1_500.png,D:/NCAA_Images/FBS/_primary/North_Carolina.p2_500.png,
North Texas,#00853E,#FFFFFF,#000000,#00A950,#509E2F,#C4D600,UNT,CUSA,FBS,G5,249,TXNO,1073,D:/NCAA_Images/FBS/_primary/North_Texas.p1_500.png,D:/NCAA_Images/FBS/_primary/North_Texas.p2_500.png,
Northern Illinois,#C8102E,#000000,#A5A7A8,#9EA2A2,#FFFFFF,,NIU,MAC,FBS,G5,2459,ILNO,1074,D:/NCAA_Images/FBS/_primary/Northern_Illinois.p1_500.png,D:/NCAA_Images/FBS/_primary/Northern_Illinois.p2_500.png,
Northwestern,#4E2A84,#000000,#FFFFFF,,,,NW,B1G,FBS,P5,77,ILNW,1075,D:/NCAA_Images/FBS/_primary/Northwestern.p1_500.png,D:/NCAA_Images/FBS/_primary/Northwestern.p2_500.png,
Notre Dame,#0C2340,#C99700,#00843D,#FFFFFF,,,ND,FBSI,FBS,P5,87,INND,1076,D:/NCAA_Images/FBS/_primary/Notre_Dame.p1_500.png,D:/NCAA_Images/FBS/_primary/Notre_Dame.p2_500.png,
Ohio,#00694E,#FFFFFF,#000000,,,,OHIO,MAC,FBS,G5,195,OHUN,1077,D:/NCAA_Images/FBS/_primary/Ohio.p1_500.png,D:/NCAA_Images/FBS/_primary/Ohio.p2_500.png,
Ohio State,#BB0000,#666666,#FFFFFF,#000000,#B0B7BC,,OSU,B1G,FBS,P5,194,OHST,1078,D:/NCAA_Images/FBS/_primary/Ohio_State.p1_500.png,D:/NCAA_Images/FBS/_primary/Ohio_State.p2_500.png,
Oklahoma,#841617,#FFFFFF,#000000,,,,OKLA,B12,FBS,P5,201,OKUN,1079,D:/NCAA_Images/FBS/_primary/Oklahoma.p1_500.png,D:/NCAA_Images/FBS/_primary/Oklahoma.p2_500.png,
Oklahoma State,#FE5C00,#000000,#63666A,#D0D0CE,#FF8F1C,#DFD1A7,OKST,B12,FBS,P5,197,OKST,1080,D:/NCAA_Images/FBS/_primary/Oklahoma_State.p1_500.png,D:/NCAA_Images/FBS/_primary/Oklahoma_State.p2_500.png,
Old Dominion,#003057,#8A8D8F,#98C5EA,#A2AAAD,#000000,#FFFFFF,ODU,CUSA,FBS,G5,295,VAOD,1081,D:/NCAA_Images/FBS/_primary/Old_Dominion.p1_500.png,D:/NCAA_Images/FBS/_primary/Old_Dominion.p2_500.png,
Ole Miss,#CE1126,#14213D,#FFFFFF,#747679,,,MISS,SEC,FBS,P5,145,MSUN,1082,D:/NCAA_Images/FBS/_primary/Ole_Miss.p1_500.png,D:/NCAA_Images/FBS/_primary/Ole_Miss.p2_500.png,
Oregon,#FCE122,#18453B,#FFFFFF,#000000,,,ORE,PAC,FBS,P5,2483,ORUN,1083,D:/NCAA_Images/FBS/_primary/Oregon.p1_500.png,D:/NCAA_Images/FBS/_primary/Oregon.p2_500.png,
Oregon State,#D73F09,#000000,#FFFFFF,,,,ORST,PAC,FBS,P5,204,ORST,1084,D:/NCAA_Images/FBS/_primary/Oregon_State.p1_500.png,D:/NCAA_Images/FBS/_primary/Oregon_State.p2_500.png,
Penn State,#041E42,#FFFFFF,#A2AAAD,,,,PSU,B1G,FBS,P5,213,PAST,1085,D:/NCAA_Images/FBS/_primary/Penn_State.p1_500.png,D:/NCAA_Images/FBS/_primary/Penn_State.p2_500.png,
Pittsburgh,#003594,#FFB81C,#FFFFFF,#373A36,#2C2A29,,PITT,ACC,FBS,P5,221,PAPT,1086,D:/NCAA_Images/FBS/_primary/Pittsburgh.p1_500.png,D:/NCAA_Images/FBS/_primary/Pittsburgh.p2_500.png,
Purdue,#CFB991,#000000,#9D9795,#FFFFFF,#373A36,#DAAA00,PUR,B1G,FBS,P5,2509,INPU,1087,D:/NCAA_Images/FBS/_primary/Purdue.p1_500.png,D:/NCAA_Images/FBS/_primary/Purdue.p2_500.png,
Rice,#00205B,#C1C6C8,#FFFFFF,,,,RICE,CUSA,FBS,G5,242,TXRI,1088,D:/NCAA_Images/FBS/_primary/Rice.p1_500.png,D:/NCAA_Images/FBS/_primary/Rice.p2_500.png,
Rutgers,#CC0033,#000000,#5F6A72,,,,RUTG,B1G,FBS,P5,164,NJRU,1089,D:/NCAA_Images/FBS/_primary/Rutgers.p1_500.png,D:/NCAA_Images/FBS/_primary/Rutgers.p2_500.png,
San Diego State,#A6192E,#000000,#FFFFFF,,,,SDST,MWC,FBS,G5,21,CASS,1090,D:/NCAA_Images/FBS/_primary/San_Diego_State.p1_500.png,D:/NCAA_Images/FBS/_primary/San_Diego_State.p2_500.png,
San Jose State,#0055A2,#E5A823,#FFFFFF,#939597,,,SJSU,MWC,FBS,G5,23,CASJ,1091,D:/NCAA_Images/FBS/_primary/San_Jose_State.p1_500.png,D:/NCAA_Images/FBS/_primary/San_Jose_State.p2_500.png,
SMU,#CC0035,#354CA1,#000000,,,,SMU,AAC,FBS,G5,2567,TXMU,1092,D:/NCAA_Images/FBS/_primary/SMU.p1_500.png,D:/NCAA_Images/FBS/_primary/SMU.p2_500.png,
South Alabama,#00205B,#BF0D3E,#FFFFFF,#00A9E0,,,USA,SBC,FBS,G5,6,ALSO,1093,D:/NCAA_Images/FBS/_primary/South_Alabama.p1_500.png,D:/NCAA_Images/FBS/_primary/South_Alabama.p2_500.png,
South Carolina,#73000A,#000000,#FFFFFF,,,,SC,SEC,FBS,P5,2579,SCUN,1094,D:/NCAA_Images/FBS/_primary/South_Carolina.p1_500.png,D:/NCAA_Images/FBS/_primary/South_Carolina.p2_500.png,
South Florida,#006747,#CFC493,#FFFFFF,,,,USF,AAC,FBS,G5,58,FLSO,1095,D:/NCAA_Images/FBS/_primary/South_Florida.p1_500.png,D:/NCAA_Images/FBS/_primary/South_Florida.p2_500.png,
Southern Miss,#000000,#FFD046,#FFAB00,,,,USM,CUSA,FBS,G5,2572,MSSO,1096,D:/NCAA_Images/FBS/_primary/Southern_Miss.p1_500.png,D:/NCAA_Images/FBS/_primary/Southern_Miss.p2_500.png,
Stanford,#8C1515,#FFFFFF,,,,,STAN,PAC,FBS,P5,24,CAST,1097,D:/NCAA_Images/FBS/_primary/Stanford.p1_500.png,D:/NCAA_Images/FBS/_primary/Stanford.p2_500.png,
Syracuse,#F76900,#000E54,#FFFFFF,,,,SYR,ACC,FBS,P5,183,NYSY,1098,D:/NCAA_Images/FBS/_primary/Syracuse.p1_500.png,D:/NCAA_Images/FBS/_primary/Syracuse.p2_500.png,
TCU,#4D1979,#FFFFFF,#A3A9AC,#000000,,,TCU,B12,FBS,P5,2628,TXCU,1099,D:/NCAA_Images/FBS/_primary/TCU.p1_500.png,D:/NCAA_Images/FBS/_primary/TCU.p2_500.png,
Temple,#990033,#FFFFFF,#C3C8C8,#000000,#8A8D8F,#FECB00,TEM,AAC,FBS,G5,218,PATE,1100,D:/NCAA_Images/FBS/_primary/Temple.p1_500.png,D:/NCAA_Images/FBS/_primary/Temple.p2_500.png,
Tennessee,#FF8200,#FFFFFF,#58595B,#006C93,,,TENN,SEC,FBS,P5,2633,TNUN,1101,D:/NCAA_Images/FBS/_primary/Tennessee.p1_500.png,D:/NCAA_Images/FBS/_primary/Tennessee.p2_500.png,
Texas,#BF5700,#333F48,#FFFFFF,,,,TEX,B12,FBS,P5,251,TXUN,1102,D:/NCAA_Images/FBS/_primary/Texas.p1_500.png,D:/NCAA_Images/FBS/_primary/Texas.p2_500.png,
Texas A&M,#500000,#FFFFFF,#666666,#999999,#000000,,TAMU,SEC,FBS,P5,245,TXAM,1103,D:/NCAA_Images/FBS/_primary/Texas_A&M.p1_500.png,D:/NCAA_Images/FBS/_primary/Texas_A&M.p2_500.png,
Texas State,#501214,#8D734A,#000000,,,,TXST,SBC,FBS,G5,326,TXSW,1104,D:/NCAA_Images/FBS/_primary/Texas_State.p1_500.png,D:/NCAA_Images/FBS/_primary/Texas_State.p2_500.png,
Texas Tech,#CC0000,#000000,#FFFFFF,#CCCCCC,#333333,,TTU,B12,FBS,P5,2641,TXTC,1105,D:/NCAA_Images/FBS/_primary/Texas_Tech.p1_500.png,D:/NCAA_Images/FBS/_primary/Texas_Tech.p2_500.png,
Toledo,#003E7E,#FFD200,#102B5F,#FFFFFF,#134FC9,,TOL,MAC,FBS,G5,2649,OHTO,1106,D:/NCAA_Images/FBS/_primary/Toledo.p1_500.png,D:/NCAA_Images/FBS/_primary/Toledo.p2_500.png,
Troy,#6D0017,#B2B3B5,#000000,#FFFFFF,,,TROY,SBC,FBS,G5,2653,ALTR,1107,D:/NCAA_Images/FBS/_primary/Troy.p1_500.png,D:/NCAA_Images/FBS/_primary/Troy.p2_500.png,
Tulane,#006747,#418FDE,#FFFFFF,#0DB02B,#000000,,TULN,AAC,FBS,G5,2655,LATU,1108,D:/NCAA_Images/FBS/_primary/Tulane.p1_500.png,D:/NCAA_Images/FBS/_primary/Tulane.p2_500.png,
Tulsa,#002D72,#C5B783,#C8102E,,,,TLSA,AAC,FBS,G5,202,OKTU,1109,D:/NCAA_Images/FBS/_primary/Tulsa.p1_500.png,D:/NCAA_Images/FBS/_primary/Tulsa.p2_500.png,
UAB,#295135,#AA9767,#000000,#1E6B52,#FFD400,#EA6852,UAB,CUSA,FBS,G5,5,ALBI,1110,D:/NCAA_Images/FBS/_primary/UAB.p1_500.png,D:/NCAA_Images/FBS/_primary/UAB.p2_500.png,
UCF,#B7A369,#000000,#FFFFFF,,,,UCF,AAC,FBS,G5,2116,FLCE,1111,D:/NCAA_Images/FBS/_primary/UCF.p1_500.png,D:/NCAA_Images/FBS/_primary/UCF.p2_500.png,
UCLA,#2774AE,#F2A900,#FFFFFF,,,,UCLA,PAC,FBS,P5,26,CALA,1112,D:/NCAA_Images/FBS/_primary/UCLA.p1_500.png,D:/NCAA_Images/FBS/_primary/UCLA.p2_500.png,
UMass,#971B2F,#B1B3B3,#572932,#27251F,#FFFFFF,,MASS,FBSI,FBS,G5,113,MAUN,1113,D:/NCAA_Images/FBS/_primary/UMass.p1_500.png,D:/NCAA_Images/FBS/_primary/UMass.p2_500.png,
UNLV,#CF0A2C,#CAC8C8,#000000,#FFFFFF,,,UNLV,MWC,FBS,G5,2439,NVLV,1114,D:/NCAA_Images/FBS/_primary/UNLV.p1_500.png,D:/NCAA_Images/FBS/_primary/UNLV.p2_500.png,
USC,#902235,#FFC72C,#FFFFFF,#000000,,,USC,PAC,FBS,P5,30,CASC,1115,D:/NCAA_Images/FBS/_primary/USC.p1_500.png,D:/NCAA_Images/FBS/_primary/USC.p2_500.png,
Utah,#AC162C,#000000,#FFFFFF,#808080,,,UTAH,PAC,FBS,P5,254,UTUN,1116,D:/NCAA_Images/FBS/_primary/Utah.p1_500.png,D:/NCAA_Images/FBS/_primary/Utah.p2_500.png,
Utah State,#00263A,#8A8D8F,#FFFFFF,#D0D0CE,,,USU,MWC,FBS,G5,328,UTST,1117,D:/NCAA_Images/FBS/_primary/Utah_State.p1_500.png,D:/NCAA_Images/FBS/_primary/Utah_State.p2_500.png,
UTEP,#FF8200,#041E42,#B1B3B3,,,,UTEP,CUSA,FBS,G5,2638,TXEP,1118,D:/NCAA_Images/FBS/_primary/UTEP.p1_500.png,D:/NCAA_Images/FBS/_primary/UTEP.p2_500.png,
UTSA,#DD4814,#002244,#000000,#FFFFFF,,,UTSA,CUSA,FBS,G5,2636,TXSN,1119,D:/NCAA_Images/FBS/_primary/UTSA.p1_500.png,D:/NCAA_Images/FBS/_primary/UTSA.p2_500.png,
Vanderbilt,#CEB888 ,#000000,#FFFFFF,,,,VAN,SEC,FBS,P5,238,TNVA,1120,D:/NCAA_Images/FBS/_primary/Vanderbilt.p1_500.png,D:/NCAA_Images/FBS/_primary/Vanderbilt.p2_500.png,
Virginia,#F84C1E,#232D4B,#FFFFFF,#FF6A14,#0D3B71,#C8C9C7,UVA,ACC,FBS,P5,258,VAUN,1121,D:/NCAA_Images/FBS/_primary/Virginia.p1_500.png,D:/NCAA_Images/FBS/_primary/Virginia.p2_500.png,
Virginia Tech,#861F41,#E87722,#000000,#FFFFFF,,,VT,ACC,FBS,P5,259,VAPI,1122,D:/NCAA_Images/FBS/_primary/Virginia_Tech.p1_500.png,D:/NCAA_Images/FBS/_primary/Virginia_Tech.p2_500.png,
Wake Forest,#CEB888,#2C2A29,#373A36,#E5E0D9,#FFFFFF,,WAKE,ACC,FBS,P5,154,NCWF,1123,D:/NCAA_Images/FBS/_primary/Wake_Forest.p1_500.png,D:/NCAA_Images/FBS/_primary/Wake_Forest.p2_500.png,
Washington,#33006F,#E8D3A2,#FFFFFF,#D8D9DA,,,WASH,PAC,FBS,P5,264,WAUN,1124,D:/NCAA_Images/FBS/_primary/Washington.p1_500.png,D:/NCAA_Images/FBS/_primary/Washington.p2_500.png,
Washington State,#9D2235,#5E6A71,#FFFFFF,#000000,#A5ACAF,#382E2C,WSU,PAC,FBS,P5,265,WAST,1125,D:/NCAA_Images/FBS/_primary/Washington_State.p1_500.png,D:/NCAA_Images/FBS/_primary/Washington_State.p2_500.png,
West Virginia,#EAAA00,#002855,#707372,#373A36,,,WVU,B12,FBS,P5,277,WVUN,1126,D:/NCAA_Images/FBS/_primary/West_Virginia.p1_500.png,D:/NCAA_Images/FBS/_primary/West_Virginia.p2_500.png,
Western Kentucky,#C60C30,#1E1E1E,#FFFFFF,#A2A4A3,,,WKU,CUSA,FBS,G5,98,KYWE,1127,D:/NCAA_Images/FBS/_primary/Western_Kentucky.p1_500.png,D:/NCAA_Images/FBS/_primary/Western_Kentucky.p2_500.png,
Western Michigan,#6C4023,#B5A167,#231F20,#AAA8AA,#FFFFFF,,WMU,MAC,FBS,G5,2711,MIWE,1128,D:/NCAA_Images/FBS/_primary/Western_Michigan.p1_500.png,D:/NCAA_Images/FBS/_primary/Western_Michigan.p2_500.png,
Wisconsin,#C4012F,#FFFFFF,#000000,,,,WIS,B1G,FBS,P5,275,WIUN,1129,D:/NCAA_Images/FBS/_primary/Wisconsin.p1_500.png,D:/NCAA_Images/FBS/_primary/Wisconsin.p2_500.png,
Wyoming,#FFC72C,#4E3629,#FFFFFF,,,,WYO,MWC,FBS,G5,2751,WYUN,1130,D:/NCAA_Images/FBS/_primary/Wyoming.p1_500.png,D:/NCAA_Images/FBS/_primary/Wyoming.p2_500.png,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Abilene Christian,#4E2683,#FFFFFF,,,,,ACU,SL,FCS,FCS,2000,TXAC,2001,D:/NCAA_Images/FCS/_primary/Abilene_Christian.p1_500.png,D:/NCAA_Images/FCS/_primary/Abilene_Christian.p2_500.png,
